tempo,tipo
931.617255,CN_SA
931.658054,CN_SA
931.659254,CN_SA
931.668854,CN_SA
931.670054,CN_SA
931.709654,CN_SA
931.710854,CN_SA
931.743255,CN_SA
931.744455,CN_SA
931.745654,CN_MM
0.093174,CN_SA
931.746871,CN_SA
931.748054,CN_MM
931.748054,CN_SA
931.749254,CN_SA
931.75046,CN_SA
931.752854,CN_SA
931.778054,CN_SA
931.779254,CN_SA
931.799654,CN_SA
931.800854,CN_SA
931.857254,CN_RA
931.858454,CN_RA
931.860871,CN_MM
0.93186,CN_RA
931.862054,CN_SA
931.863254,CN_RA
931.863254,CN_SA
931.866854,CN_SA
931.868054,CN_MM
931.868054,CN_RA
931.869255,CN_RA
931.870463,CN_MM
0.93187,CN_RA
931.871654,CN_RA
931.871654,CN_SA
931.872866,CN_SA
931.874054,CN_SA
931.877654,CN_MM
931.877654,CN_RA
931.878855,CN_MM
0.931878,CN_RA
931.880054,CN_RA
931.881254,CN_RA
931.882461,CN_RA
931.883654,CN_MM
0.093188,CN_RA
931.884854,CN_RA
931.884854,CN_SA
931.886054,CN_SA
931.887254,CN_SA
931.893255,CN_RA
931.894461,CN_RA
931.896854,CN_MM
0.093189,CN_RA
931.898054,CN_RA
931.900455,CN_RA
931.910054,CN_SA
931.911254,CN_SA
931.912454,CN_MM
0.093191,CN_RA
931.913653,CN_RA
931.913653,CN_SA
931.916054,CN_MM
931.916054,CN_RA
931.917254,CN_RA
931.917254,CN_SA
931.918463,CN_RA
931.919653,CN_RA
931.920854,CN_RA
931.922054,CN_MM
0.093192,CN_RA
931.923254,CN_MM
0.093192,CN_RA
931.924455,CN_MM
931.924455,CN_RA
931.925654,CN_RA
931.926854,CN_RA
931.928054,CN_RA
931.929254,CN_RA
931.931653,CN_MM
931.931653,CN_RA
931.931653,CN_SA
931.932853,CN_RA
931.932853,CN_SA
931.934054,CN_RA
931.934054,CN_SA
931.935255,CN_MM
0.093193,CN_RA
931.936461,CN_MM
0.093193,CN_RA
931.937654,CN_RA
931.938874,CN_RA
931.938874,CN_SA
931.940054,CN_MM
931.940054,CN_RA
931.941254,CN_RA
931.942455,CN_RA
931.943654,CN_RA
931.946055,CN_MM
931.946055,CN_RA
931.947254,CN_RA
931.948454,CN_RA
931.949654,CN_MM
0.093194,CN_RA
931.950854,CN_RA
931.952055,CN_MM
931.952055,CN_RA
931.953254,CN_RA
931.955654,CN_RA
931.956854,CN_MM
0.931956,CN_RA
931.958055,CN_RA
931.959254,CN_RA
931.960473,CN_RA
931.961653,CN_RA
931.962854,CN_MM
0.093196,CN_RA
931.964054,CN_MM
931.964054,CN_RA
931.965254,CN_MM
0.093196,CN_RA
931.966454,CN_RA
931.967653,CN_RA
931.968871,CN_MM
0.093196,CN_RA
931.970054,CN_MM
931.970054,CN_RA
931.972463,CN_RA
931.973654,CN_MM
931.973654,CN_RA
931.973654,CN_SA
931.974854,CN_RA
931.974854,CN_SA
931.977254,CN_MM
0.931977,CN_RA
931.978464,CN_MM
0.093197,CN_RA
931.979655,CN_RA
931.979655,CN_SA
931.980853,CN_RA
931.980853,CN_SA
931.982054,CN_RA
931.982054,CN_SA
931.983254,CN_RA
931.983254,CN_SA
931.984462,CN_RA
931.984462,CN_SA
931.985654,CN_MM
0.093198,CN_RA
931.986853,CN_MM
0.093198,CN_RA
931.988055,CN_RA
931.989255,CN_RA
931.990462,CN_MM
0.93199,CN_RA
931.991653,CN_RA
931.992854,CN_MM
0.931992,CN_RA
931.994054,CN_MM
931.994054,CN_RA
931.995254,CN_MM
0.093199,CN_RA
931.996462,CN_RA
931.997654,CN_RA
931.998873,CN_MM
0.931998,CN_RA
932.000054,CN_RA
932.000054,CN_SA
932.001254,CN_RA
932.001254,CN_SA
932.002462,CN_MM
0.0932,CN_RA
932.004854,CN_RA
932.006055,CN_MM
932.006055,CN_RA
932.006055,CN_SA
932.007254,CN_MM
0.932007,CN_RA
932.008465,CN_RA
932.008465,CN_SA
932.009654,CN_MM
932.009654,CN_RA
932.009654,CN_SA
932.010871,CN_RA
932.010871,CN_SA
932.012054,CN_RA
932.012054,CN_SA
932.013255,CN_MM
0.093201,CN_RA
932.014462,CN_RA
932.015654,CN_RA
932.015654,CN_SA
932.01687,CN_RA
932.018054,CN_MM
932.018054,CN_RA
932.019254,CN_RA
932.020454,CN_MM
0.093202,CN_RA
932.021654,CN_MM
932.021654,CN_RA
932.022854,CN_MM
0.093202,CN_RA
932.024054,CN_MM
932.024054,CN_RA
932.025254,CN_RA
932.026454,CN_RA
932.027653,CN_RA
932.028874,CN_RA
932.030054,CN_MM
932.030054,CN_RA
932.031255,CN_MM
0.932031,CN_RA
932.032463,CN_MM
0.093203,CN_RA
932.033653,CN_MM
932.033653,CN_RA
932.034854,CN_RA
932.036054,CN_RA
932.037253,CN_RA
932.038462,CN_MM
0.093203,CN_RA
932.039654,CN_RA
932.040873,CN_MM
0.93204,CN_RA
932.042053,CN_RA
932.043254,CN_MM
932.043254,CN_RA
932.044462,CN_RA
932.045653,CN_RA
932.048054,CN_MM
932.048054,CN_RA
932.049254,CN_RA
932.050453,CN_RA
932.052872,CN_RA
932.052872,CN_SA
932.054054,CN_RA
932.054054,CN_SA
932.055254,CN_MM
0.093205,CN_RA
932.056462,CN_RA
932.056462,CN_SA
932.057654,CN_MM
932.057654,CN_RA
932.058854,CN_RA
932.060054,CN_RA
932.062468,CN_MM
0.932062,CN_RA
932.066054,CN_RA
932.068462,CN_RA
932.072054,CN_RA
932.073255,CN_MM
0.093207,CN_RA
932.074468,CN_RA
932.079254,CN_RA
932.080463,CN_MM
0.93208,CN_RA
932.081654,CN_MM
0.932081,CN_RA
932.08287,CN_MM
0.093208,CN_RA
932.084053,CN_RA
932.085254,CN_MM
932.085254,CN_RA
932.086463,CN_RA
932.087654,CN_MM
0.093208,CN_RA
932.088854,CN_MM
0.932088,CN_RA
932.090054,CN_MM
932.090054,CN_RA
932.091254,CN_MM
0.093209,CN_RA
932.092454,CN_RA
932.093654,CN_RA
932.094854,CN_RA
932.096054,CN_RA
932.098454,CN_MM
0.093209,CN_RA
932.099654,CN_MM
932.099654,CN_RA
932.100874,CN_RA
932.102055,CN_RA
932.103255,CN_RA
932.104461,CN_RA
932.106854,CN_MM
0.09321,CN_RA
932.108054,CN_MM
932.108054,CN_RA
932.109254,CN_RA
932.111654,CN_RA
932.112853,CN_RA
932.114054,CN_RA
932.116467,CN_RA
932.117654,CN_RA
932.118854,CN_RA
932.120054,CN_MM
0.93212,CN_RA
932.121254,CN_RA
932.122462,CN_MM
0.932122,CN_RA
932.123654,CN_RA
932.126053,CN_RA
932.130853,CN_RA
932.472853,CN_MM
0.093247,CN_RA
932.474054,CN_RA
932.475254,CN_MM
0.093247,CN_RA
932.476463,CN_RA
932.478854,CN_MM
932.478854,CN_RA
932.480054,CN_MM
932.480054,CN_RA
932.481254,CN_MM
0.093248,CN_RA
932.483655,CN_MM
0.093248,CN_RA
932.484853,CN_RA
932.486054,CN_RA
932.487254,CN_MM
0.093248,CN_RA
932.488454,CN_RA
932.489654,CN_RA
932.490853,CN_RA
932.492054,CN_MM
932.492054,CN_RA
932.494464,CN_MM
932.494464,CN_RA
932.494464,CN_SA
932.495655,CN_MM
0.093249,CN_RA
932.496855,CN_MM
0.093249,CN_RA
932.498054,CN_RA
932.498054,CN_SA
932.499254,CN_RA
932.499254,CN_SA
932.500464,CN_MM
0.09325,CN_RA
932.502855,CN_MM
932.502855,CN_RA
932.502855,CN_SA
932.505254,CN_MM
9.325052,CN_RA
932.506456,CN_RA
932.506456,CN_SA
932.507654,CN_RA
932.507654,CN_SA
932.508873,CN_RA
932.508873,CN_SA
932.510055,CN_RA
932.510055,CN_SA
932.511254,CN_MM
0.932511,CN_RA
932.512464,CN_MM
0.093251,CN_RA
932.514871,CN_RA
932.514871,CN_SA
932.516053,CN_RA
932.516053,CN_SA
932.517254,CN_RA
932.517254,CN_SA
932.518465,CN_RA
932.518465,CN_SA
932.519654,CN_MM
0.932519,CN_RA
932.520854,CN_RA
932.520854,CN_SA
932.522055,CN_RA
932.522055,CN_SA
932.523254,CN_MM
0.093252,CN_RA
932.524463,CN_RA
932.524463,CN_SA
932.525655,CN_MM
0.932525,CN_RA
932.526873,CN_MM
0.093252,CN_RA
932.528054,CN_MM
932.528054,CN_RA
932.528054,CN_SA
932.529254,CN_MM
0.093252,CN_RA
932.530453,CN_RA
932.530453,CN_SA
932.531654,CN_MM
932.531654,CN_RA
932.531654,CN_SA
932.532854,CN_RA
932.532854,CN_SA
932.534055,CN_MM
932.534055,CN_RA
932.534055,CN_SA
932.535255,CN_MM
0.932535,CN_RA
932.536464,CN_RA
932.536464,CN_SA
932.537654,CN_RA
932.537654,CN_SA
932.538869,CN_MM
0.093253,CN_RA
932.540054,CN_MM
932.540054,CN_RA
932.540054,CN_SA
932.541255,CN_MM
0.932541,CN_RA
932.542464,CN_RA
932.542464,CN_SA
932.543653,CN_RA
932.543653,CN_SA
932.544872,CN_RA
932.544872,CN_SA
932.546053,CN_RA
932.546053,CN_SA
932.547255,CN_MM
0.932547,CN_SA
932.548463,CN_SA
932.549655,CN_RA
932.549655,CN_SA
932.550854,CN_RA
932.550854,CN_SA
932.552054,CN_RA
932.552054,CN_SA
932.554454,CN_MM
0.932554,CN_SA
932.555654,CN_MM
0.093255,CN_SA
932.556853,CN_SA
932.558054,CN_MM
0.932558,CN_RA
932.559255,CN_MM
0.932559,CN_RA
932.560464,CN_RA
932.560464,CN_SA
932.561654,CN_MM
0.932561,CN_RA
932.562875,CN_RA
932.562875,CN_SA
932.564054,CN_RA
932.564054,CN_SA
932.565253,CN_SA
932.566463,CN_SA
932.568854,CN_MM
0.932568,CN_SA
932.570053,CN_SA
932.576054,CN_MM
932.576054,CN_SA
932.578453,CN_SA
932.584455,CN_RA
932.584455,CN_SA
932.585654,CN_RA
932.585654,CN_SA
932.586853,CN_RA
932.586853,CN_SA
932.594054,CN_RA
932.595253,CN_RA
932.597655,CN_MM
932.597655,CN_RA
932.598854,CN_MM
0.932598,CN_RA
932.600054,CN_MM
932.600054,CN_RA
932.600054,CN_SA
932.601254,CN_RA
932.601254,CN_SA
932.602465,CN_RA
932.602465,CN_SA
932.603653,CN_RA
932.604853,CN_SA
932.609654,CN_MM
932.609654,CN_RA
932.610874,CN_MM
0.093261,CN_RA
932.612054,CN_MM
932.612054,CN_RA
932.612054,CN_SA
932.613254,CN_RA
932.613254,CN_SA
932.614464,CN_RA
932.614464,CN_SA
932.615653,CN_RA
932.615653,CN_SA
932.616868,CN_MM
0.093261,CN_RA
