t_rel_s,cycle,phase,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,touch_value,touch_age_ms
0.0474,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0580,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0625,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0800,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0926,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1026,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1085,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1164,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1285,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1430,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1494,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1574,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1674,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1910,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1953,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
