t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.0225,1782562475.8856,2926.176455,0.0000,0.0000,0.00000,3.2931,3.3000,3.3000,3.3000,3.3000,3.2903,3.3000,3.3000,3.3000,3.2871,3.2919,3.3000,3.2871,3.2863,3.2839,3.2927,3.2629,3.2831,3.2863,3.3000,3.3000,3.2815,3.2984,3.2992,3.3000,3.2960
0.0235,1782562475.8866,2926.177654,0.0000,0.0000,0.00000,3.2933,3.3000,3.2984,3.2936,3.2807,3.2919,3.2637,3.2863,3.2895,3.2952,3.2976,3.2782,3.2960,3.2952,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.2976,3.2968,3.2871,3.2927
0.0249,1782562475.8880,2926.178855,0.0000,0.0000,0.00000,3.2903,3.2557,3.2807,3.2871,3.2952,3.2976,3.2863,3.2984,3.2976,3.3000,3.2984,3.3000,3.3000,3.3000,3.2895,3.2895,3.3000,3.2919,3.2960,3.2831,3.2903,3.2581,3.2823,3.2895,3.2936,3.2960
0.0265,1782562475.8896,2926.180055,0.0000,0.0000,0.00000,3.2927,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2903,3.2927,3.2968,3.2871,3.2887,3.2839,3.2936,3.2557,3.2807,3.2863,3.2936,3.2976,3.2823,3.3000,3.2976,3.3000,3.2984
0.0273,1782562475.8904,2926.181254,0.0000,0.0000,0.00000,3.2916,3.3000,3.2903,3.2936,3.2831,3.2919,3.2573,3.2807,3.2887,3.2895,3.2952,3.2726,3.2863,3.2879,3.2984,3.2984,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2903,3.2895
0.0283,1782562475.8914,2926.182455,0.0000,0.0000,0.00000,3.2920,3.2581,3.2807,3.2895,3.2976,3.2944,3.2895,3.3000,3.2968,3.3000,3.2976,3.3000,3.3000,3.3000,3.2992,3.2936,3.3000,3.3000,3.2992,3.2871,3.2919,3.2702,3.2807,3.2895,3.2871,3.2984
0.0295,1782562475.8926,2926.183654,0.0000,0.0000,0.00000,3.2929,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2927,3.2927,3.3000,3.2911,3.2919,3.2855,3.2968,3.2525,3.2807,3.2847,3.2911,3.2976,3.2815,3.2936,3.2984,3.3000,3.3000
0.0307,1782562475.8938,2926.184854,0.0000,0.0000,0.00000,3.2934,3.2984,3.2952,3.2960,3.2863,3.2903,3.2807,3.2839,3.2871,3.2847,3.2911,3.2815,3.2936,3.2968,3.3000,3.2984,3.2871,3.3000,3.2992,3.3000,3.2968,3.3000,3.3000,3.3000,3.2960,3.2911
0.0321,1782562475.8952,2926.186054,0.0000,0.0000,0.00000,3.2923,3.2549,3.2790,3.2871,3.2944,3.2968,3.2782,3.2927,3.2927,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2855,3.2895,3.3000,3.2984,3.2927,3.2799,3.2927
0.0333,1782562475.8964,2926.187255,0.0000,0.0000,0.00000,3.2917,3.2863,3.2984,3.3000,3.3000,3.2976,3.3000,3.3000,3.3000,3.2895,3.2919,3.3000,3.3000,3.2968,3.2823,3.2911,3.2637,3.2807,3.2871,3.2919,3.2952,3.2678,3.2871,3.2871,3.3000,3.2976
0.0345,1782562475.8976,2926.188454,0.0000,0.0000,0.00000,3.2914,3.3000,3.2968,3.2984,3.2863,3.2895,3.2879,3.2863,3.2887,3.2831,3.2919,3.2549,3.2839,3.2863,3.2871,3.2968,3.2863,3.2976,3.2936,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2903
0.0355,1782562475.8986,2926.189655,0.0000,0.0000,0.00000,3.2902,3.2613,3.2823,3.2871,3.2911,3.2960,3.2662,3.2815,3.2879,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2903,3.3000,3.3000,3.3000,3.2968,3.2960,3.2637,3.2815,3.2863,3.2887,3.2984
0.0369,1782562475.9000,2926.190855,0.0000,0.0000,0.00000,3.2929,3.2766,3.2944,3.2960,3.3000,3.2984,3.3000,3.3000,3.3000,3.2968,3.2919,3.3000,3.3000,3.3000,3.2936,3.2927,3.3000,3.2936,3.2927,3.2831,3.2927,3.2549,3.2807,3.2871,3.3000,3.2984
0.0385,1782562475.9015,2926.192054,0.0000,0.0000,0.00000,3.2937,3.3000,3.3000,3.2992,3.2823,3.2887,3.3000,3.3000,3.2984,3.2807,3.2903,3.2629,3.2855,3.2911,3.3000,3.2976,3.2799,3.2952,3.2984,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2936
0.0393,1782562475.9024,2926.193255,0.0000,0.0000,0.00000,3.2900,3.2670,3.2823,3.2871,3.2831,3.2936,3.2629,3.2831,3.2871,3.2984,3.2992,3.2895,3.2984,3.3000,3.3000,3.2960,3.3000,3.3000,3.2992,3.2903,3.2903,3.2911,3.2855,3.2871,3.2847,3.2936
0.0403,1782562475.9034,2926.194455,0.0000,0.0000,0.00000,3.2894,3.2637,3.2831,3.2863,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2984,3.3000,3.2968,3.2968,3.2823,3.2895,3.2541,3.2799,3.2855,3.2952,3.2976,3.2621,3.2831,3.2871,3.2952,3.3000
0.0415,1782562475.9046,2926.195654,0.0000,0.0000,0.00000,3.2931,3.3000,3.3000,3.3000,3.2992,3.2919,3.3000,3.2927,3.2936,3.2847,3.2911,3.2541,3.2790,3.2863,3.2936,3.3000,3.2758,3.2968,3.2976,3.3000,3.2984,3.3000,3.3000,3.3000,3.2976,3.2960
0.0430,1782562475.9060,2926.196855,0.0000,0.0000,0.00000,3.2926,3.2766,3.2831,3.2879,3.2847,3.2919,3.2694,3.2895,3.2887,3.3000,3.2984,3.2863,3.2984,3.2960,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2944,3.3000,3.2984,3.2968,3.2831,3.2919
0.0441,1782562475.9072,2926.198055,0.0000,0.0000,0.00000,3.2914,3.2629,3.2782,3.2919,3.3000,3.2992,3.2871,3.3000,3.2992,3.3000,3.2968,3.3000,3.3000,3.3000,3.2968,3.2919,3.3000,3.2911,3.2919,3.2831,3.2927,3.2581,3.2799,3.2847,3.3000,3.3000
0.0453,1782562475.9084,2926.199255,0.0000,0.0000,0.00000,3.2929,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.2968,3.2839,3.2927,3.2605,3.2823,3.2871,3.2871,3.2976,3.2670,3.2895,3.2911,3.3000,3.3000,3.2960,3.3000,3.2992,3.3000,3.2984
