t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.5545,1782562476.4176,2926.708055,0.0000,0.0000,0.00000,3.2917,3.2734,3.2871,3.2911,3.3000,3.2976,3.2839,3.2984,3.2992,3.3000,3.2968,3.3000,3.3000,3.3000,3.2903,3.2903,3.3000,3.2919,3.2919,3.2831,3.2927,3.2589,3.2847,3.2871,3.2944,3.3000
0.5553,1782562476.4184,2926.709254,0.0000,0.0000,0.00000,3.2917,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.2936,3.2952,3.2839,3.2927,3.2573,3.2790,3.2871,3.2863,3.2984,3.2581,3.2839,3.2911,3.3000,3.2960,3.3000,3.3000,3.3000,3.3000,3.2960
0.5564,1782562476.4194,2926.710454,0.0000,0.0000,0.00000,3.2927,3.3000,3.2903,3.2903,3.2831,3.2952,3.2662,3.2831,3.2895,3.2952,3.2992,3.2726,3.2863,3.2903,3.3000,3.3000,3.3000,3.3000,3.3000,3.2992,3.2936,3.3000,3.3000,3.3000,3.2919,3.2911
0.5575,1782562476.4206,2926.711655,0.0000,0.0000,0.00000,3.2906,3.2589,3.2807,3.2871,3.2944,3.2960,3.2863,3.2984,3.2984,3.3000,3.2960,3.3000,3.3000,3.3000,3.2992,3.2903,3.3000,3.2927,3.2936,3.2831,3.2927,3.2549,3.2807,3.2871,3.2952,3.2984
0.5590,1782562476.4220,2926.712855,0.0000,0.0000,0.00000,3.2923,3.3000,3.3000,3.3000,3.2984,3.2944,3.3000,3.3000,3.3000,3.2895,3.2927,3.2879,3.2831,3.2903,3.2847,3.2952,3.2565,3.2823,3.2863,3.2952,3.2984,3.2847,3.2968,3.2919,3.3000,3.2992
0.5601,1782562476.4232,2926.714054,0.0000,0.0000,0.00000,3.2922,3.3000,3.2984,3.3000,3.2855,3.2895,3.2557,3.2855,3.2879,3.2847,3.2952,3.2710,3.2871,3.2944,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2944,3.3000,3.3000,3.3000,3.2839,3.2911
0.5613,1782562476.4244,2926.715255,0.0000,0.0000,0.00000,3.2904,3.2565,3.2807,3.2879,3.2879,3.2952,3.2855,3.2992,3.2992,3.3000,3.3000,3.3000,3.3000,3.3000,3.2992,3.2919,3.3000,3.2960,3.2968,3.2815,3.2927,3.2549,3.2807,3.2831,3.2927,3.2984
0.5625,1782562476.4256,2926.716455,0.0000,0.0000,0.00000,3.2928,3.3000,3.3000,3.3000,3.3000,3.2976,3.3000,3.2968,3.2952,3.2847,3.2911,3.2952,3.2871,3.2887,3.2766,3.2936,3.2702,3.2815,3.2839,3.2968,3.3000,3.2895,3.2976,3.2968,3.3000,3.2984
0.5635,1782562476.4266,2926.717654,0.0000,0.0000,0.00000,3.2920,3.3000,3.3000,3.2976,3.2839,3.2895,3.2613,3.2823,3.2839,3.2887,3.2976,3.2726,3.2895,3.2936,3.3000,3.2984,3.2863,3.3000,3.2976,3.3000,3.2968,3.3000,3.3000,3.3000,3.2903,3.2903
0.5649,1782562476.4280,2926.718855,0.0000,0.0000,0.00000,3.2908,3.2516,3.2823,3.2944,3.2919,3.2976,3.2799,3.2976,3.2960,3.3000,3.2976,3.3000,3.3000,3.3000,3.2944,3.2903,3.3000,3.3000,3.3000,3.2903,3.2863,3.2670,3.2839,3.2911,3.2815,3.2960
0.5666,1782562476.4296,2926.720055,0.0000,0.0000,0.00000,3.2908,3.2807,3.2984,3.2984,3.3000,3.2976,3.3000,3.3000,3.3000,3.2919,3.2919,3.3000,3.2936,3.2976,3.2871,3.2895,3.2605,3.2823,3.2863,3.2911,3.2976,3.2581,3.2815,3.2871,3.3000,3.2992
0.5673,1782562476.4304,2926.721254,0.0000,0.0000,0.00000,3.2926,3.3000,3.2960,3.2944,3.2855,3.2903,3.2960,3.2831,3.2895,3.2871,3.2968,3.2653,3.2831,3.2879,3.2911,3.2976,3.2839,3.3000,3.2992,3.3000,3.2992,3.3000,3.3000,3.3000,3.2976,3.2903
0.5683,1782562476.4314,2926.722455,0.0000,0.0000,0.00000,3.2914,3.2541,3.2807,3.2871,3.2952,3.2960,3.2782,3.2911,3.2919,3.3000,3.3000,3.3000,3.3000,3.3000,3.2944,3.2927,3.3000,3.3000,3.3000,3.2903,3.2927,3.2887,3.2871,3.2871,3.2847,3.2936
0.5696,1782562476.4326,2926.723654,0.0000,0.0000,0.00000,3.2928,3.2774,3.2944,3.2960,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.2984,3.2960,3.2807,3.2927,3.2686,3.2799,3.2871,3.2887,3.2968,3.2831,3.2968,3.2952,3.3000,3.2976
0.5707,1782562476.4338,2926.724854,0.0000,0.0000,0.00000,3.2935,3.3000,3.3000,3.3000,3.2944,3.2887,3.3000,3.2919,3.2927,3.2847,3.2927,3.2589,3.2815,3.2863,3.2976,3.2976,3.2807,3.2984,3.3000,3.3000,3.2976,3.3000,3.3000,3.3000,3.3000,3.2944
0.5721,1782562476.4352,2926.726055,0.0000,0.0000,0.00000,3.2905,3.2573,3.2823,3.2847,3.2863,3.2936,3.2653,3.2863,3.2936,3.3000,3.2992,3.2847,3.2984,3.2992,3.3000,3.2968,3.3000,3.3000,3.3000,3.2919,3.2919,3.2936,3.2895,3.2919,3.2847,3.2903
0.5733,1782562476.4364,2926.727255,0.0000,0.0000,0.00000,3.2938,3.2863,3.3000,3.3000,3.3000,3.2952,3.3000,3.3000,3.3000,3.2976,3.2936,3.3000,3.2968,3.3000,3.2911,3.2911,3.2815,3.2831,3.2871,3.2871,3.2968,3.2742,3.2911,3.2936,3.3000,3.3000
0.5745,1782562476.4376,2926.728454,0.0000,0.0000,0.00000,3.2927,3.3000,3.3000,3.3000,3.2960,3.2919,3.3000,3.3000,3.2976,3.2895,3.2911,3.2653,3.2807,3.2863,3.2863,3.2984,3.2645,3.2871,3.2952,3.3000,3.2952,3.3000,3.3000,3.3000,3.3000,3.2927
0.5755,1782562476.4386,2926.729654,0.0000,0.0000,0.00000,3.2917,3.2903,3.2839,3.2903,3.2847,3.2944,3.2629,3.2839,3.2887,3.3000,3.2992,3.2831,3.2960,3.2976,3.3000,3.2976,3.3000,3.3000,3.3000,3.2911,3.2887,3.3000,3.2879,3.2919,3.2863,3.2927
0.5769,1782562476.4400,2926.730855,0.0000,0.0000,0.00000,3.2923,3.2847,3.2984,3.2960,3.3000,3.2984,3.2968,3.3000,3.3000,3.3000,3.2944,3.3000,3.3000,3.2976,3.2863,3.2895,3.2911,3.2823,3.2871,3.2863,3.2944,3.2653,3.2815,3.2863,3.2952,3.2968
0.5785,1782562476.4416,2926.732054,0.0000,0.0000,0.00000,3.2928,3.3000,3.3000,3.3000,3.2992,3.2919,3.3000,3.2871,3.2936,3.2823,3.2944,3.2686,3.2815,3.2879,3.2887,3.2968,3.2782,3.2911,3.2927,3.3000,3.2960,3.3000,3.3000,3.3000,3.3000,3.2911
0.5795,1782562476.4426,2926.733254,0.0000,0.0000,0.00000,3.2921,3.2936,3.2847,3.2911,3.2815,3.2919,3.2589,3.2799,3.2863,3.2919,3.2976,3.2895,3.3000,3.2968,3.3000,3.2968,3.3000,3.3000,3.3000,3.2952,3.2919,3.3000,3.3000,3.3000,3.2863,3.2879
0.5804,1782562476.4434,2926.734455,0.0000,0.0000,0.00000,3.2909,3.2766,3.2911,3.2919,3.3000,3.2992,3.2960,3.3000,3.3000,3.2871,3.2936,3.3000,3.3000,3.3000,3.2952,3.2895,3.2847,3.2855,3.2936,3.2831,3.2952,3.2525,3.2807,3.2863,3.2927,3.2976
0.5815,1782562476.4446,2926.735654,0.0000,0.0000,0.00000,3.2930,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2871,3.2911,3.2968,3.2863,3.2871,3.2839,3.2976,3.2557,3.2799,3.2871,3.2936,3.2960,3.3000,3.3000,3.3000,3.3000,3.2895
0.5827,1782562476.4458,2926.736855,0.0000,0.0000,0.00000,3.2933,3.3000,3.2984,3.2952,3.2839,3.2911,3.2799,3.2839,3.2863,3.2871,3.3000,3.2766,3.2919,3.2936,3.3000,3.2984,3.3000,3.3000,3.3000,3.2968,3.2919,3.3000,3.3000,3.2976,3.2903,3.2895
0.5841,1782562476.4472,2926.738055,0.0000,0.0000,0.00000,3.2908,3.2662,3.2863,3.2887,3.2952,3.2976,3.2847,3.2984,3.3000,3.3000,3.3000,3.3000,3.3000,3.2968,3.2855,3.2927,3.3000,3.2879,3.2944,3.2823,3.2911,3.2734,3.2823,3.2863,3.2871,3.2944
0.5853,1782562476.4484,2926.739254,0.0000,0.0000,0.00000,3.2943,3.3000,3.3000,3.3000,3.2936,3.2960,3.3000,3.3000,3.3000,3.2944,3.2936,3.3000,3.2976,3.2960,3.2847,3.2911,3.2653,3.2863,3.2911,3.3000,3.2960,3.2799,3.2968,3.3000,3.3000,3.2960
0.5866,1782562476.4497,2926.740454,0.0000,0.0000,0.00000,3.2923,3.3000,3.2927,3.2936,3.2847,3.2911,3.2799,3.2839,3.2871,3.2855,3.2960,3.2662,3.2847,3.2871,3.2960,3.2968,3.3000,3.3000,3.3000,3.3000,3.2992,3.3000,3.3000,3.3000,3.2887,3.2944
0.5875,1782562476.4506,2926.741655,0.0000,0.0000,0.00000,3.2914,3.2670,3.2863,3.2903,3.2976,3.2968,3.2831,3.3000,3.2968,3.3000,3.2984,3.3000,3.3000,3.3000,3.2960,3.2960,3.3000,3.2936,3.2992,3.2847,3.2903,3.2605,3.2790,3.2855,3.2903,3.2936
0.5890,1782562476.4520,2926.742855,0.0000,0.0000,0.00000,3.2931,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2952,3.2927,3.2936,3.2871,3.2927,3.2823,3.2919,3.2581,3.2823,3.2871,3.2919,3.2960,3.2847,3.3000,3.2976,3.3000,3.2984
0.5906,1782562476.4537,2926.744054,0.0000,0.0000,0.00000,3.2939,3.3000,3.2936,3.2952,3.2855,3.2911,3.3000,3.2919,3.2968,3.2823,3.2927,3.2629,3.2847,3.2871,3.2976,3.2992,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.3000,3.2911
0.5914,1782562476.4544,2926.745255,0.0000,0.0000,0.00000,3.2905,3.2597,3.2799,3.2863,3.2774,3.2952,3.2823,3.2984,3.2976,3.3000,3.2968,3.3000,3.3000,3.3000,3.2968,3.2919,3.3000,3.3000,3.3000,3.2927,3.2911,3.2686,3.2823,3.2887,3.2863,3.2911
0.5924,1782562476.4554,2926.746455,0.0000,0.0000,0.00000,3.2921,3.2895,3.3000,3.2992,3.3000,3.2976,3.3000,3.3000,3.3000,3.2960,3.2952,3.2992,3.2911,3.2919,3.2807,3.2911,3.2565,3.2807,3.2863,3.2871,3.3000,3.2758,3.2911,3.2944,3.3000,3.3000
0.5936,1782562476.4566,2926.747654,0.0000,0.0000,0.00000,3.2923,3.3000,3.3000,3.3000,3.2855,3.2895,3.2903,3.2863,3.2911,3.2815,3.2823,3.2670,3.2871,3.2887,3.3000,3.3000,3.2831,3.2952,3.2976,3.3000,3.2968,3.3000,3.3000,3.3000,3.2911,3.2944
0.5950,1782562476.4580,2926.748855,0.0000,0.0000,0.00000,3.2910,3.2581,3.2807,3.2879,3.2871,3.2944,3.2710,3.2855,3.2911,3.3000,3.2984,3.3000,3.3000,3.3000,3.2976,3.2936,3.3000,3.3000,3.3000,3.2895,3.2911,3.2952,3.2871,3.2911,3.2831,3.2936
0.5961,1782562476.4592,2926.750055,0.0000,0.0000,0.00000,3.2918,3.2807,3.2952,3.2984,3.3000,3.2976,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2831,3.2871,3.2533,3.2815,3.2887,3.2871,3.2976,3.2734,3.2863,3.2895,3.3000,3.3000
0.5973,1782562476.4604,2926.751254,0.0000,0.0000,0.00000,3.2933,3.3000,3.3000,3.3000,3.2895,3.2895,3.3000,3.2944,3.2944,3.2855,3.2911,3.2645,3.2831,3.2871,3.2952,3.2992,3.2815,3.2952,3.2952,3.3000,3.2976,3.3000,3.3000,3.3000,3.2984,3.2919
0.5987,1782562476.4618,2926.752455,0.0000,0.0000,0.00000,3.2932,3.3000,3.2936,3.2936,3.2831,3.2944,3.2589,3.2839,3.2887,3.3000,3.3000,3.2847,3.2984,3.2976,3.3000,3.2984,3.3000,3.3000,3.3000,3.2936,3.2903,3.3000,3.2952,3.3000,3.2855,3.2911
0.5996,1782562476.4626,2926.753655,0.0000,0.0000,0.00000,3.2919,3.2815,3.2976,3.2968,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2919,3.3000,3.3000,3.3000,3.2887,3.2895,3.2815,3.2831,3.2895,3.2895,3.2952,3.2581,3.2807,3.2847,3.2936,3.2984
0.6010,1782562476.4640,2926.754853,0.0000,0.0000,0.00000,3.2909,3.3000,3.3000,3.3000,3.2936,3.2911,3.3000,3.2871,3.2952,3.2815,3.2927,3.2662,3.2758,3.2879,3.2855,3.2984,3.2613,3.2815,3.2879,3.2952,3.2976,3.3000,3.3000,3.3000,3.3000,3.2944
0.6025,1782562476.4656,2926.756054,0.0000,0.0000,0.00000,3.2917,3.2855,3.2839,3.2887,3.2839,3.2919,3.2613,3.2847,3.2863,3.2919,3.3000,3.2831,3.2976,3.2952,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2919,3.3000,3.2919,3.2927,3.2887,3.2927
0.6033,1782562476.4664,2926.757255,0.0000,0.0000,0.00000,3.2912,3.2742,3.2895,3.2911,3.3000,3.2960,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2936,3.2911,3.2952,3.2863,3.2919,3.2750,3.2936,3.2516,3.2774,3.2895,3.2895,3.2992
0.6043,1782562476.4674,2926.758455,0.0000,0.0000,0.00000,3.2921,3.3000,3.3000,3.3000,3.3000,3.2968,3.3000,3.2952,3.2968,3.2871,3.2911,3.2573,3.2758,3.2815,3.2919,3.3000,3.2718,3.2871,3.2887,3.3000,3.2992,3.2879,3.2984,3.2992,3.3000,3.2960
0.6055,1782562476.4686,2926.759654,0.0000,0.0000,0.00000,3.2922,3.2919,3.2863,3.2903,3.2855,3.2919,3.2549,3.2807,3.2895,3.2927,3.2968,3.2831,3.2984,3.2952,3.3000,3.2984,3.3000,3.3000,3.3000,3.2992,3.2927,3.3000,3.2968,3.2952,3.2847,3.3000
0.6070,1782562476.4700,2926.760855,0.0000,0.0000,0.00000,3.2926,3.2662,3.2871,3.2879,3.3000,3.2984,3.2936,3.3000,3.2976,3.3000,3.2976,3.3000,3.3000,3.3000,3.2871,3.2927,3.3000,3.2960,3.2992,3.2855,3.2911,3.2653,3.2863,3.2879,3.2976,3.2968
0.6081,1782562476.4712,2926.762055,0.0000,0.0000,0.00000,3.2927,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.2992,3.2863,3.2927,3.3000,3.2944,3.2960,3.2790,3.2871,3.2557,3.2807,3.2863,3.2984,3.3000,3.2807,3.2952,3.2944,3.3000,3.2984
0.6093,1782562476.4724,2926.763254,0.0000,0.0000,0.00000,3.2925,3.3000,3.2984,3.2895,3.2887,3.2895,3.2573,3.2823,3.2895,3.2863,3.2944,3.2758,3.2936,3.2952,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2952,3.3000,3.3000,3.3000,3.2871,3.2895
0.6107,1782562476.4737,2926.764455,0.0000,0.0000,0.00000,3.2907,3.2549,3.2823,3.2871,3.2984,3.2960,3.2782,3.2952,3.2952,3.3000,3.2984,3.3000,3.3000,3.3000,3.2936,3.2919,3.3000,3.2992,3.3000,3.2871,3.2911,3.2613,3.2855,3.2847,3.2895,3.2976
0.6116,1782562476.4746,2926.765654,0.0000,0.0000,0.00000,3.2929,3.3000,3.3000,3.3000,3.3000,3.2919,3.3000,3.3000,3.3000,3.2887,3.2895,3.3000,3.2887,3.2895,3.2847,3.2952,3.2613,3.2807,3.2879,3.2903,3.2968,3.2855,3.2952,3.2976,3.3000,3.2984
0.6130,1782562476.4760,2926.766854,0.0000,0.0000,0.00000,3.2917,3.3000,3.2976,3.2936,3.2847,3.2871,3.2605,3.2807,3.2863,3.2911,3.2936,3.2662,3.2871,3.2936,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2863,3.2895
0.6145,1782562476.4776,2926.768055,0.0000,0.0000,0.00000,3.2919,3.2581,3.2847,3.2871,3.2952,3.2944,3.2839,3.2952,3.2944,3.3000,3.2976,3.3000,3.3000,3.3000,3.2976,3.2919,3.3000,3.2944,3.2960,3.2831,3.2903,3.2976,3.2871,3.2936,3.2831,3.2936
0.6153,1782562476.4784,2926.769255,0.0000,0.0000,0.00000,3.2920,3.2863,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2871,3.2927,3.3000,3.2871,3.2895,3.2863,3.2944,3.2605,3.2831,3.2919,3.2847,3.2952,3.2815,3.2968,3.2871,3.3000,3.3000
0.6163,1782562476.4794,2926.770454,0.0000,0.0000,0.00000,3.2929,3.3000,3.2936,3.2968,3.2887,3.2919,3.2936,3.2839,3.2903,3.2847,3.2944,3.2629,3.2863,3.2895,3.2992,3.2984,3.2847,3.3000,3.2984,3.3000,3.2976,3.3000,3.3000,3.3000,3.2976,3.2903
0.6175,1782562476.4806,2926.771655,0.0000,0.0000,0.00000,3.2908,3.2565,3.2807,3.2855,3.2976,3.2968,3.2670,3.2863,3.2879,3.3000,3.2992,3.3000,3.3000,3.3000,3.3000,3.2976,3.3000,3.2968,3.2960,3.2839,3.2887,3.2919,3.2895,3.2919,3.2831,3.2944
0.6190,1782562476.4820,2926.772855,0.0000,0.0000,0.00000,3.2924,3.2960,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.2968,3.2919,3.3000,3.2952,3.2968,3.2799,3.2903,3.2613,3.2799,3.2863,3.2871,3.2944,3.2734,3.2903,3.2936,3.3000,3.3000
0.6201,1782562476.4832,2926.774054,0.0000,0.0000,0.00000,3.2929,3.3000,3.3000,3.3000,3.2911,3.2936,3.2774,3.2831,3.2871,3.2863,3.2952,3.2662,3.2799,3.2871,3.2992,3.2960,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2960,3.2919
0.6213,1782562476.4844,2926.775255,0.0000,0.0000,0.00000,3.2916,3.2774,3.2871,3.2919,3.2815,3.2927,3.2613,3.2815,3.2895,3.2984,3.2992,3.2984,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2976,3.2919,3.2952,3.2871,3.2903,3.2847,3.2919
0.6227,1782562476.4857,2926.776455,0.0000,0.0000,0.00000,3.2931,3.2815,3.2968,3.2968,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2919,3.2903,3.2670,3.2790,3.2871,3.2863,3.2952,3.2782,3.2927,3.2960,3.3000,3.2976
0.6236,1782562476.4866,2926.777654,0.0000,0.0000,0.00000,3.2914,3.3000,3.3000,3.3000,3.2952,3.2903,3.2895,3.2839,3.2919,3.2847,3.2927,3.2605,3.2807,3.2863,3.2871,3.2976,3.2734,3.2903,3.2936,3.3000,3.2992,3.3000,3.3000,3.3000,3.2952,3.2927
0.6247,1782562476.4878,2926.778855,0.0000,0.0000,0.00000,3.2919,3.2621,3.2807,3.2839,3.2911,3.2992,3.2694,3.2831,3.2879,3.2976,3.2992,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2992,3.2911,3.3000,3.2927,3.2936,3.2807,3.2927
0.6267,1782562476.4897,2926.780055,0.0000,0.0000,0.00000,3.2900,3.2710,3.2895,3.2936,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2903,3.2879,3.2557,3.2799,3.2831,3.2887,3.2944,3.2565,3.2839,3.2863,3.2976,3.2992
0.6274,1782562476.4905,2926.781254,0.0000,0.0000,0.00000,3.2931,3.3000,3.3000,3.3000,3.2936,3.2919,3.3000,3.2927,3.2936,3.2839,3.2927,3.2549,3.2831,3.2863,3.2936,3.2960,3.2815,3.2960,3.2968,3.3000,3.2976,3.3000,3.3000,3.3000,3.3000,3.2944
0.6284,1782562476.4915,2926.782454,0.0000,0.0000,0.00000,3.2924,3.2903,3.2871,3.2927,3.2815,3.2919,3.2605,3.2790,3.2871,3.2919,3.2960,3.2976,3.3000,3.2968,3.3000,3.2952,3.3000,3.3000,3.3000,3.3000,3.2919,3.3000,3.2992,3.2984,3.2807,3.2911
0.6296,1782562476.4926,2926.783655,0.0000,0.0000,0.00000,3.2908,3.2678,3.2871,3.2903,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.2984,3.2879,3.2919,3.2799,3.2871,3.2879,3.2863,3.2944,3.2637,3.2839,3.2847,3.2887,3.2968
0.6310,1782562476.4940,2926.784854,0.0000,0.0000,0.00000,3.2933,3.3000,3.3000,3.3000,3.2992,3.2895,3.3000,3.2976,3.2992,3.2871,3.2903,3.2750,3.2839,3.2895,3.2847,3.2952,3.2710,3.2895,3.2919,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2927
0.6321,1782562476.4952,2926.786055,0.0000,0.0000,0.00000,3.2928,3.3000,3.2927,3.2960,3.2839,3.2911,3.2581,3.2807,3.2871,3.2976,3.2992,3.2799,3.2984,3.2984,3.3000,3.2968,3.3000,3.3000,3.3000,3.2992,3.2927,3.3000,3.2976,3.2952,3.2847,3.2911
0.6334,1782562476.4964,2926.787255,0.0000,0.0000,0.00000,3.2899,3.2541,3.2807,3.2887,3.2976,3.2992,3.2871,3.3000,3.2984,3.3000,3.2968,3.3000,3.3000,3.3000,3.2895,3.2936,3.3000,3.2863,3.2927,3.2847,3.2927,3.2557,3.2790,3.2887,3.2863,3.2960
0.6346,1782562476.4977,2926.788455,0.0000,0.0000,0.00000,3.2912,3.2871,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2960,3.2919,3.2758,3.2799,3.2879,3.2903,3.2976,3.2557,3.2807,3.2863,3.2919,3.2895,3.2847,3.2952,3.2968,3.3000,3.2992
0.6356,1782562476.4986,2926.789654,0.0000,0.0000,0.00000,3.2948,3.3000,3.3000,3.2992,3.2847,3.2895,3.2670,3.2879,3.2887,3.3000,3.2968,3.2807,3.2968,3.2960,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.2944,3.2927
0.6367,1782562476.4998,2926.790855,0.0000,0.0000,0.00000,3.2897,3.2557,3.2823,3.2871,3.2968,3.2968,3.2782,3.2895,3.2936,3.3000,3.3000,3.3000,3.3000,3.3000,3.2960,3.2919,3.3000,3.2911,3.2919,3.2831,3.2927,3.2621,3.2823,3.2879,3.2871,3.2952
0.6385,1782562476.5016,2926.792054,0.0000,0.0000,0.00000,3.2908,3.2895,3.3000,3.3000,3.3000,3.2952,3.3000,3.3000,3.3000,3.2871,3.2927,3.2903,3.2831,3.2871,3.2903,3.2952,3.2557,3.2807,3.2863,3.2895,3.2960,3.2750,3.2895,3.2911,3.3000,3.2968
0.6393,1782562476.5024,2926.793254,0.0000,0.0000,0.00000,3.2927,3.3000,3.2952,3.2968,3.2855,3.2895,3.2790,3.2831,3.2887,3.2855,3.2968,3.2758,3.2919,3.2911,3.3000,3.3000,3.2847,3.2960,3.2952,3.3000,3.3000,3.3000,3.3000,3.3000,3.2927,3.2911
0.6403,1782562476.5034,2926.794455,0.0000,0.0000,0.00000,3.2911,3.2589,3.2823,3.2895,3.2815,3.2952,3.2782,3.2919,3.2952,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2823,3.2927,3.2782,3.2863,3.2919,3.2871,3.2927
0.6416,1782562476.5046,2926.795654,0.0000,0.0000,0.00000,3.2922,3.2847,3.2968,3.2968,3.3000,3.2968,3.3000,3.3000,3.3000,3.2919,3.2936,3.3000,3.2871,3.2903,3.2847,3.2927,3.2629,3.2758,3.2863,3.2863,3.2968,3.2847,3.3000,3.3000,3.3000,3.2960
0.6427,1782562476.5058,2926.796854,0.0000,0.0000,0.00000,3.2920,3.3000,3.3000,3.3000,3.2855,3.2871,3.2774,3.2815,3.2871,3.2831,3.2936,3.2597,3.2839,3.2871,3.2927,3.2952,3.2992,3.3000,3.3000,3.3000,3.2992,3.3000,3.3000,3.3000,3.2960,3.2911
0.6441,1782562476.5072,2926.798055,0.0000,0.0000,0.00000,3.2927,3.2613,3.2815,3.2887,3.2871,3.2927,3.2831,3.2968,3.2960,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.2952,3.2919,3.2984,3.2871,3.2903,3.2807,3.2927
0.6453,1782562476.5084,2926.799255,0.0000,0.0000,0.00000,3.2925,3.2863,3.2984,3.2976,3.3000,3.2976,3.3000,3.3000,3.3000,3.2984,3.2903,3.3000,3.3000,3.3000,3.2871,3.2911,3.2613,3.2815,3.2871,3.2895,3.2976,3.2694,3.2903,3.2887,3.3000,3.3000
0.6472,1782562476.5103,2926.800454,0.0000,0.0000,0.00000,3.2928,3.3000,3.3000,3.3000,3.2968,3.2911,3.2936,3.2863,3.2919,3.2871,3.2919,3.2525,3.2839,3.2895,3.2984,3.2952,3.2799,3.3000,3.2984,3.3000,3.2968,3.3000,3.3000,3.3000,3.2936,3.2936
0.6477,1782562476.5108,2926.801654,0.0000,0.0000,0.00000,3.2902,3.2629,3.2807,3.2879,3.2895,3.2952,3.2613,3.2823,3.2863,3.2952,3.2992,3.2871,3.2992,3.3000,3.3000,3.2944,3.3000,3.3000,3.2992,3.2871,3.2911,3.3000,3.2871,3.2895,3.2863,3.2936
0.6490,1782562476.5120,2926.802855,0.0000,0.0000,0.00000,3.2927,3.2847,3.2984,3.2968,3.3000,3.2992,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.2976,3.2936,3.2807,3.2919,3.2968,3.2871,3.2919,3.2815,3.2911,3.2653,3.2839,3.2863,3.3000,3.2984
0.6505,1782562476.5136,2926.804054,0.0000,0.0000,0.00000,3.2936,3.3000,3.3000,3.3000,3.2927,3.2911,3.3000,3.2863,3.2919,3.2831,3.2936,3.2629,3.2799,3.2879,3.3000,3.2992,3.2839,3.2984,3.2936,3.3000,3.2984,3.3000,3.3000,3.2992,3.3000,3.2992
0.6514,1782562476.5144,2926.805255,0.0000,0.0000,0.00000,3.2916,3.2895,3.2839,3.2911,3.2863,3.2919,3.2549,3.2799,3.2871,3.2936,3.2968,3.2879,3.2984,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.3000,3.2944,3.3000,3.2919,3.2919,3.2807,3.2927
0.6524,1782562476.5155,2926.806455,0.0000,0.0000,0.00000,3.2910,3.2653,3.2766,3.2871,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2952,3.3000,3.3000,3.3000,3.2855,3.2911,3.2903,3.2903,3.2871,3.2944,3.2984,3.2597,3.2823,3.2871,3.2903,3.2952
0.6536,1782562476.5166,2926.807654,0.0000,0.0000,0.00000,3.2915,3.3000,3.3000,3.3000,3.2968,3.2911,3.3000,3.2952,3.2960,3.2847,3.2911,3.2565,3.2807,3.2863,3.2887,3.2992,3.2645,3.2831,3.2919,3.2976,3.2968,3.2936,3.3000,3.2984,3.3000,3.2944
