t_rel_s,t_unix,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v10,v11,v12,v13,v20,v21,v22,v23,v30,v31,v32,v33
0.5708,1782154917.3903,0.0000,0.0000,0.00000,0.0000,3.2686,3.2726,3.2774,3.2621,3.2299,3.2476,3.2734,3.2549,3.3000,3.2766,3.2750,3.2670,3.2750,3.2726,3.2774,3.2653
0.5910,1782154917.4105,0.0000,0.0000,0.00000,0.0000,3.2686,3.2726,3.2774,3.2621,3.2299,3.2476,3.2734,3.2549,3.3000,3.2766,3.2750,3.2670,3.2750,3.2726,3.2774,3.2653
0.6116,1782154917.4311,0.0000,0.0000,0.00000,0.0000,3.2686,3.2726,3.2774,3.2621,3.2299,3.2476,3.2734,3.2549,3.3000,3.2766,3.2750,3.2670,3.2750,3.2726,3.2774,3.2653
0.6326,1782154917.4520,0.0000,0.0000,0.00000,0.0000,3.2686,3.2726,3.2774,3.2621,3.2299,3.2476,3.2734,3.2549,3.3000,3.2766,3.2750,3.2670,3.2750,3.2726,3.2774,3.2653
0.6527,1782154917.4722,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2726,3.2670,3.2299,3.2355,3.2678,3.2629,3.2799,3.2702,3.2774,3.2750,3.2919,3.2782,3.2774,3.2742
0.6729,1782154917.4923,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2726,3.2670,3.2299,3.2355,3.2678,3.2629,3.2799,3.2702,3.2774,3.2750,3.2919,3.2782,3.2774,3.2742
0.6931,1782154917.5125,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2726,3.2670,3.2299,3.2355,3.2678,3.2629,3.2799,3.2702,3.2774,3.2750,3.2919,3.2782,3.2774,3.2742
0.7138,1782154917.5333,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2726,3.2670,3.2299,3.2355,3.2678,3.2629,3.2799,3.2702,3.2774,3.2750,3.2919,3.2782,3.2774,3.2742
0.7346,1782154917.5541,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2726,3.2670,3.2299,3.2355,3.2678,3.2629,3.2799,3.2702,3.2774,3.2750,3.2919,3.2782,3.2774,3.2742
0.7550,1782154917.5744,0.0000,0.0000,0.00000,0.0000,3.2790,3.2662,3.2742,3.2653,3.2186,3.2468,3.2742,3.2589,3.3000,3.2790,3.2774,3.2670,3.3000,3.2766,3.2750,3.2694
0.7759,1782154917.5954,0.0000,0.0000,0.00000,0.0000,3.2790,3.2662,3.2742,3.2653,3.2186,3.2468,3.2742,3.2589,3.3000,3.2790,3.2774,3.2670,3.3000,3.2766,3.2750,3.2694
0.7963,1782154917.6157,0.0000,0.0000,0.00000,0.0000,3.2790,3.2662,3.2742,3.2653,3.2186,3.2468,3.2742,3.2589,3.3000,3.2790,3.2774,3.2670,3.3000,3.2766,3.2750,3.2694
0.8168,1782154917.6362,0.0000,0.0000,0.00000,0.0000,3.2790,3.2662,3.2742,3.2653,3.2186,3.2468,3.2742,3.2589,3.3000,3.2790,3.2774,3.2670,3.3000,3.2766,3.2750,3.2694
