t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
2.6101,1782566439.2768,931.340054,0.0000,-0.0000,-0.00000,3.1029,3.2919,3.2839,3.2984,3.2936,3.2903,2.3056,1.9115,3.1799,3.2919,3.2992,2.5820,2.3660,3.2525,3.3000,3.3000,2.9632,2.9962,3.2831,3.3000,3.3000,3.2831,3.3000,3.3000,3.3000,3.3000
2.6960,1782566439.3626,931.424054,0.0000,-0.0000,-0.00000,2.8768,2.9511,2.8503,3.1783,3.2984,3.2089,2.0864,1.8994,1.8414,3.2952,2.6642,2.4522,2.1202,2.1629,3.2992,2.5030,2.8777,3.0913,3.2154,3.2992,3.1558,3.2782,3.2944,3.2992,3.3000,3.2984
2.7800,1782566439.4467,931.509254,0.0000,-0.0000,-0.00000,2.6707,3.0873,2.8745,3.1920,3.2758,3.2629,2.3007,2.0719,1.8164,3.0349,2.7568,2.3781,2.0259,2.2185,1.3410,2.0066,2.4152,2.9204,2.8253,2.4901,2.0042,3.2782,3.2927,3.2984,3.3000,3.3000
3.3080,1782566439.9746,932.042053,0.0000,-0.0000,-0.00000,2.9798,2.5852,2.4893,3.0276,3.2968,3.3000,2.2669,1.9123,1.5344,3.3000,3.3000,2.6851,2.3048,2.9422,3.3000,3.3000,3.2855,3.2927,3.2936,3.2968,3.2919,3.3000,3.3000,3.3000,3.2952,3.2936
3.3546,1782566440.0212,932.084053,0.0000,-0.0000,-0.00000,3.1505,3.1888,3.1751,3.2823,3.2895,3.2984,2.1428,1.4965,3.1429,3.2952,3.3000,3.1469,3.1195,3.2936,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.3000,3.2936
3.8856,1782566440.5522,932.618054,0.0000,-0.0000,-0.00000,2.7741,3.2919,3.2871,3.2895,3.2911,3.2952,3.2871,3.2952,3.2984,3.3000,3.3000,3.1662,2.9164,3.0494,2.7568,2.8471,2.5562,0.7551,0.5834,0.6938,0.6318,3.2911,3.2871,3.2895,3.2927,3.3000
3.9580,1782566440.6247,932.684054,0.0000,-0.0000,-0.00000,2.6897,3.3000,3.3000,3.3000,3.2960,3.2903,3.3000,3.2984,3.2960,3.2936,3.2944,2.8568,2.2959,2.2097,2.0783,2.2032,1.1516,1.1572,1.2668,1.3337,1.2273,3.2984,3.3000,3.3000,3.3000,3.2944
4.1650,1782566440.8317,932.895254,0.0000,-0.0000,-0.00000,2.6910,3.0542,3.0099,3.0663,3.1654,3.0373,2.1114,1.8632,2.0509,2.2621,2.2451,2.5167,1.9663,2.0090,1.6391,2.2121,3.2202,3.1719,2.9051,2.8793,2.4321,3.2831,3.2855,3.2927,3.2960,3.2992
4.2110,1782566440.8776,932.942054,0.0000,-0.0000,-0.00000,2.7252,3.2565,3.2267,3.1404,3.1928,3.1114,2.6392,1.9244,2.2475,2.5175,2.4458,2.6448,1.9453,2.0533,1.9615,2.3330,3.1066,3.0059,2.5812,2.2484,2.0509,3.2976,3.3000,3.3000,3.3000,3.2984
4.4370,1782566441.1036,933.170053,0.0000,-0.0000,-0.00000,2.6867,3.3000,3.3000,3.3000,3.3000,3.2976,3.3000,3.3000,3.2992,3.2936,3.2919,2.6505,2.3692,2.5602,3.0018,2.8511,0.8607,1.0573,0.9114,0.7986,0.6286,3.3000,3.3000,3.3000,3.3000,3.2968
4.4850,1782566441.1517,933.218996,0.0000,-0.0000,-0.00000,2.7283,3.3000,3.2976,3.2992,3.2919,3.2944,3.2653,3.2895,3.2952,3.2984,3.2992,2.1573,1.7390,2.1992,2.9188,2.5925,1.3127,1.6593,1.2523,2.0848,0.8752,3.3000,3.3000,3.2976,3.2952,3.2927
4.5360,1782566441.2027,933.266054,0.0000,-0.0000,-0.00000,2.7047,3.2774,3.2927,3.3000,3.3000,3.2984,2.8415,2.7109,3.0478,3.2307,3.2025,2.0485,1.5996,1.9252,2.5368,2.1428,1.8293,2.3305,1.7487,2.0904,1.4175,3.2645,3.2895,3.2927,3.2984,3.3000
5.1576,1782566441.8242,933.886054,0.0000,-0.0000,-0.00000,2.6737,2.9930,2.9462,3.0599,3.1219,3.0123,2.2709,2.0147,2.2725,2.1678,2.3974,2.2056,1.9365,2.2387,1.6947,2.2484,3.1163,3.0679,2.3870,2.9680,2.2717,3.2702,3.2895,3.2952,3.2960,3.3000
5.2296,1782566441.8962,933.959254,0.0000,-0.0000,-0.00000,2.7821,3.3000,3.3000,3.2960,3.2855,3.2799,3.3000,2.9462,2.9849,2.6827,2.7891,3.2662,2.0445,2.0187,1.9784,2.1500,3.2742,1.7205,1.7205,1.9856,1.7390,3.3000,3.3000,3.3000,3.2992,3.2903
5.3430,1782566442.0096,934.073254,0.0000,-0.0000,-0.00000,2.7494,3.3000,3.3000,3.3000,3.3000,3.2952,3.3000,3.3000,3.3000,3.2927,3.2887,3.1163,2.7423,2.8455,2.4321,2.6352,2.4039,0.7285,0.6141,0.9638,0.7809,3.3000,3.3000,3.3000,3.3000,3.2960
5.5300,1782566442.1967,934.255054,0.0000,-0.0000,-0.00000,2.6714,3.2339,3.1670,3.1920,3.2605,3.2686,2.7021,2.3064,2.3418,2.4941,2.4313,2.1968,1.8188,2.1662,2.0598,1.8672,1.8583,2.6174,2.2621,2.6094,2.4538,3.3000,3.2960,3.2944,3.2927,3.2952
