t_rel_s,cycle,phase,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,touch_value,touch_age_ms
0.0103,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0230,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0297,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0380,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0544,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0617,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0702,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0809,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0889,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1005,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1111,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1196,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1305,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1395,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1492,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1635,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
