t_rel_s,cycle,phase,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,touch_value,touch_age_ms
0.0076,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0288,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0303,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0392,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0467,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0576,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0673,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0819,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0877,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.0960,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1091,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1330,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1376,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1404,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1486,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1585,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1707,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1795,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1906,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.1973,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2085,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2161,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2264,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2392,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2520,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2591,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2769,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2780,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.2875,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3275,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3505,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3511,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3514,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3624,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3668,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3819,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3895,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.3973,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4087,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4159,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4564,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4691,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4925,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4930,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.4983,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.5083,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.5170,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.5323,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
0.5414,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01912,-0.09678,-0.44233,0.39120,,
