tempo,tipo,idx,adc
934.41668,RA,12,3431
934.417909,RA,14,3009
934.42117,RA,5,3749
934.433483,RA,14,3174
934.442789,RA,7,1833
934.450119,RA,5,4082
934.455092,RA,14,3155
934.485995,RA,3,3375
934.503949,RA,3,3630
934.52326,RA,4,3831
934.541667,RA,19,3497
934.542364,RA,3,4072
934.542907,RA,18,3489
934.549714,RA,8,3262
934.553491,RA,14,1889
934.576285,RA,13,3412
934.581264,RA,19,1992
934.582286,RA,13,3885
934.585895,RA,14,4079
934.586915,RA,8,4095
934.587081,RA,13,4075
934.592075,RA,19,4095
934.596893,RA,18,4094
934.602923,RA,18,4089
934.605269,RA,19,4095
934.612488,RA,18,4094
