t_rel_s,cycle,phase,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,touch_value,touch_age_ms
0.0012,0,IDLE,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0149,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0233,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0412,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0426,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0529,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0623,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0716,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0819,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.0934,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1030,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1124,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1226,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1337,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1439,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1549,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1618,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1724,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1811,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.1941,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2043,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2134,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2218,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2332,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2482,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2548,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2622,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2723,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2863,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.2966,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.3041,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.3132,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.3239,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
0.3370,1,HOME,-0.0000,1.35075,0.48284,-2.09940,0.04565,1.57079,-3.01911,-0.09678,-0.44233,0.39120,,
