t_rel_s,cycle,phase,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,touch_value,touch_age_ms
0.0109,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0169,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0305,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0374,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0478,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0580,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0707,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0799,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0862,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.0969,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1138,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1216,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1269,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1387,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1480,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1592,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1673,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1785,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1865,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.1985,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2181,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2325,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2418,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2494,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2598,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2697,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
0.2796,1,HOME,-0.0000,1.35075,0.48284,-2.09928,0.04573,1.57080,-3.01912,-0.09677,-0.44240,0.39130,,
